X Values,Maui County,Hawaii County,City &amp; County of Honolulu,U.S.
Jan-06,3.057,2.856,2.714,2.314
Feb-06,3.055,2.890,2.752,2.285
Mar-06,3.030,2.834,2.724,2.418
Apr-06,3.401,3.200,3.015,2.770
May-06,3.671,3.531,3.297,2.892
Jun-06,3.632,3.485,3.285,2.873
Jul-06,3.616,3.492,3.265,2.973
Aug-06,3.624,3.466,3.246,2.952
Sep-06,3.517,3.390,3.108,2.533
Oct-06,3.265,3.138,2.877,2.239
Nov-06,3.115,2.997,2.765,2.226
Dec-06,3.092,2.920,2.744,2.309
Jan-07,3.202,3.008,2.816,2.225
Feb-07,3.193,2.976,2.764,2.254
Mar-07,3.223,2.977,2.833,2.551
Apr-07,3.334,3.103,2.995,2.829
May-07,3.653,3.335,3.258,3.118
Jun-07,3.717,3.408,3.314,3.043
Jul-07,3.603,3.308,3.181,2.970
Aug-07,3.583,3.277,3.151,2.787
Sep-07,3.557,3.232,3.109,2.802
Oct-07,3.532,3.226,3.09,2.802
Nov-07,3.652,3.333,3.228,3.073
Dec-07,3.844,3.432,3.349,3.005
Jan-08,3.847,3.472,3.364,3.041
Feb-08,3.859,3.476,3.373,3.034
Mar-08,3.933,3.584,3.508,3.247
Apr-08,4.061,3.743,3.631,3.446
May-08,4.261,3.953,3.85,3.787
Jun-08,4.560,4.323,4.198,4.050
Jul-08,4.694,4.511,4.377,4.056
Aug-08,4.697,4.488,4.335,3.760
Sep-08,4.613,4.364,4.205,3.714
Oct-08,4.260,3.911,3.743,3.053
Nov-08,3.468,3.065,2.926,2.098
Dec-08,2.787,2.525,2.354,1.680
Jan-09,2.478,2.428,2.253,1.795
Feb-09,2.545,2.498,2.332,1.924
Mar-09,2.618,2.518,2.369,1.960
Apr-09,2.687,2.534,2.377,2.051
May-09,2.898,2.694,2.534,2.299
Jun-09,3.272,3.056,2.914,2.642
Jul-09,3.536,3.222,3.122,2.528
Aug-09,3.604,3.224,3.137,2.620
Sep-09,3.727,3.369,3.249,2.551
Oct-09,3.622,3.270,3.158,2.557
Nov-09,3.703,3.351,3.225,2.648
Dec-09,3.701,3.362,3.229,2.611
Jan-10,3.750,3.406,3.281,2.714
Feb-10,3.795,3.469,3.326,2.651
Mar-10,3.833,3.482,3.361,2.781
Apr-10,3.896,3.557,3.438,2.855
May-10,3.912,3.567,3.455,2.844
Jun-10,3.794,3.458,3.364,2.727
Jul-10,3.777,3.460,3.361,2.727
Aug-10,3.829,3.487,3.371,2.732
Sep-10,3.818,3.405,3.314,2.703
Oct-10,3.853,3.467,3.352,2.799
Nov-10,3.921,3.515,3.383,2.861
Dec-10,3.967,3.588,3.465,2.991
